State,MedianHouseholdIncome
Alabama,53990
Alaska,78437
Arizona,68967
Arkansas,52577
California,84831
Colorado,82228
Connecticut,83628
Delaware,71636
District of Columbia,91072
Florida,63054
Georgia,66507
Hawaii,85547
Idaho,66318
Illinois,72215
Indiana,62723
Iowa,65645
Kansas,64128
Kentucky,55532
Louisiana,52090
Maine,64823
Maryland,90129
Massachusetts,89577
Michigan,63444
Minnesota,77712
Mississippi,48871
Missouri,61815
Montana,63357
Nebraska,66949
Nevada,66194
New Hampshire,88268
New Jersey,89227
New Mexico,54304
New York,74230
North Carolina,61997
North Dakota,67603
Ohio,62286
Oklahoma,55829
Oregon,71441
Pennsylvania,68931
Rhode Island,73324
South Carolina,59447
South Dakota,66843
Tennessee,59698
Texas,66959
Utah,79449
Vermont,72415
Virginia,80926
Washington,84155
West Virginia,51122
Wisconsin,67150
Wyoming,66508
